date,action,ticker,security,reason
2016-07-01,add,ALB,Albemarle Corporation,TE acquired by EMA[137]
2016-07-01,add,LNT,Alliant Energy Corp,GAS acquired by SO[138]
2016-07-01,remove,GAS,AGL Resources,GAS acquired by SO[138]
2016-07-01,remove,TE,TECO Energy,TE acquired by EMA[137]
2016-07-05,add,FTV,Fortive Corp,CPGX acquired by TRP[137]
2016-07-05,remove,CPGX,Columbia Pipeline Group,CPGX acquired by TRP[137]
2016-09-06,add,MTD,Mettler Toledo,TYC acquires JCI (and retains JCI ticker).[136]
2016-09-06,remove,TYC,Tyco International,TYC acquires JCI (and retains JCI ticker).[136]
2016-09-08,add,CHTR,Charter Communications,Dell acquires EMC[135]
2016-09-08,remove,EMC,EMC Corporation,Dell acquires EMC[135]
2016-09-22,add,COO,The Cooper Companies,MAR acquires HOT[134]
2016-09-22,remove,HOT,Starwood,MAR acquires HOT[134]
2016-09-30,add,COTY,Coty,COTY replaces DO[133]
2016-09-30,remove,DO,Diamond Offshore Drilling,COTY replaces DO[133]
2016-11-01,add,ARNC,Arconic,AA spins off ARNC
2016-11-01,remove,AA,Alcoa,AA spins off ARNC
2016-12-02,add,EVHC,Envision Healthcare,Market capitalization change.[132]
2016-12-02,add,MAA,Mid-America Apartments,Market capitalization change.[132]
2016-12-02,remove,LM,Legg Mason,Market capitalization change.[132]
2016-12-02,remove,OI,Owens-Illinois,Market capitalization change.[132]
2017-01-05,add,IDXX,Idexx Laboratories,S&P 100 & 500 constituent Abbott Laboratories (NYSE:ABT) acquired St. Jude Medical.[131]
2017-01-05,remove,STJ,St Jude Medical,S&P 100 & 500 constituent Abbott Laboratories (NYSE:ABT) acquired St. Jude Medical.[131]
2017-02-28,add,INCY,Incyte,SE acquired by ENB[130]
2017-02-28,remove,SE,Spectra Energy,SE acquired by ENB[130]
2017-03-01,add,CBOE,Cboe Holdings,CBOE acquires BATS[130]
2017-03-01,remove,PBI,Pitney Bowes,CBOE acquires BATS[130]
2017-03-02,add,REG,Regency Centers,REG acquires EQY[130]
2017-03-02,remove,ENDP,Endo International,REG acquires EQY[130]
2017-03-13,add,DISH,Dish Network,S&P 500 constituent Analog Devices (NASD:ADI) acquired Linear Technology.[129]
2017-03-13,remove,LLTC,Linear Technology,S&P 500 constituent Analog Devices (NASD:ADI) acquired Linear Technology.[129]
2017-03-16,add,SNPS,Synopsys,Samsung Electronics acquired Harman International Industries.[128]
2017-03-16,remove,HAR,Harman International,Samsung Electronics acquired Harman International Industries.[128]
2017-03-20,add,AMD,Advanced Micro Devices,Market capitalization change.[127]
2017-03-20,add,ARE,Alexandria Real Estate Equities,Market capitalization change.[127]
2017-03-20,add,RJF,Raymond James Financial,Market capitalization change.[127]
2017-03-20,remove,FSLR,First Solar,Market capitalization change.[127]
2017-03-20,remove,FTR,Frontier Communications,Market capitalization change.[127]
2017-03-20,remove,URBN,Urban Outfitters,Market capitalization change.[127]
2017-04-04,add,DXC,DXC Technology,"HPE spins off Everett, merged with CSC to form DXC[125][126]"
2017-04-04,remove,SWN,Southwestern Energy,"HPE spins off Everett, merged with CSC to form DXC[125][126]"
2017-04-05,add,IT,Gartner,IT acquiring CEB[124]
2017-04-05,remove,DNB,Dun & Bradstreet,IT acquiring CEB[124]
2017-06-02,add,INFO,IHS Markit,TGNA spins off Cars.com[123]
2017-06-02,remove,TGNA,Tegna,TGNA spins off Cars.com[123]
2017-06-19,add,ALGN,Align Technology,Market capitalization changes.[121]
2017-06-19,add,ANSS,Ansys,Market capitalization changes.[121]
2017-06-19,add,HLT,Hilton,VZ acquired YHOO operations; remainder of YHOO converted to closed-end company known as Altaba.[121]
2017-06-19,add,RE,Everest Re,Reckitt Benckiser acquired Mead Johnson Nutrition.[122]
2017-06-19,remove,MJN,Mead Johnson,Reckitt Benckiser acquired Mead Johnson Nutrition.[122]
2017-06-19,remove,R,Ryder System,Market capitalization changes.[121]
2017-06-19,remove,TDC,Teradata,Market capitalization changes.[121]
2017-06-19,remove,YHOO,Yahoo!,VZ acquired YHOO operations; remainder of YHOO converted to closed-end company known as Altaba.[121]
2017-07-07,add,BKR,Baker Hughes,Baker Hughes merged with GE Oil & Gas to form new company.[120]
2017-07-07,remove,BHI,Baker Hughes,Baker Hughes merged with GE Oil & Gas to form new company.[120]
2017-07-26,add,AOS,A. O. Smith,Market capitalization change.[119]
2017-07-26,add,DRE,Duke Realty Corp,Market capitalization change.[119]
2017-07-26,add,MGM,MGM Resorts International,British American Tobacco (NYSE MKT:BTI) acquired Reynolds American.[119]
2017-07-26,add,PKG,Packaging Corporation of America,Market capitalization change.[119]
2017-07-26,add,RMD,ResMed,Market capitalization change.[119]
2017-07-26,remove,BBBY,Bed Bath & Beyond,Market capitalization change.[119]
2017-07-26,remove,MNK,Mallinckrodt,Market capitalization change.[119]
2017-07-26,remove,MUR,Murphy Oil,Market capitalization change.[119]
2017-07-26,remove,RAI,Reynolds American,British American Tobacco (NYSE MKT:BTI) acquired Reynolds American.[119]
2017-07-26,remove,RIG,Transocean,Market capitalization change.[119]
2017-08-08,add,BHF,Brighthouse Financial,"BHF replaced AN,[118] MET spun off BHF[118]"
2017-08-08,remove,AN,AutoNation,"BHF replaced AN,[118] MET spun off BHF[118]"
2017-08-29,add,Q,QuintilesIMS,Amazon acquired Whole Foods Market.[117]
2017-08-29,remove,WFM,Whole Foods Market,Amazon acquired Whole Foods Market.[117]
2017-09-01,add,DWDP,DuPont,The Dow Chemical Company renamed to DowDuPont Inc. and ticker changed from DOW to DWDP after acquiring DuPont.[117]
2017-09-01,add,SBAC,SBA Communications,The Dow Chemical Company acquired DuPont.[117]
2017-09-01,remove,DD,DuPont,The Dow Chemical Company acquired DuPont.[117]
2017-09-01,remove,DOW,Dow Chemical Company,The Dow Chemical Company renamed to DowDuPont Inc. and ticker changed from DOW to DWDP after acquiring DuPont.[117]
2017-09-18,add,CDNS,Cadence Design Systems,Sycamore Partners acquired Staples.[116]
2017-09-18,remove,SPLS,Staples,Sycamore Partners acquired Staples.[116]
2017-10-13,add,NCLH,Norwegian Cruise Line Holdings,CenturyLink acquired LVLT.[115]
2017-10-13,remove,LVLT,Level 3 Communications,CenturyLink acquired LVLT.[115]
2018-01-03,add,HII,Huntington Ingalls Industries,Becton Dickinson acquired BCR.[114]
2018-01-03,remove,BCR,CR Bard,Becton Dickinson acquired BCR.[114]
2018-03-07,add,IPGP,IPG Photonics,Discovery Communications acquired SNI.[113]
2018-03-07,remove,SNI,Scripps Networks Interactive,Discovery Communications acquired SNI.[113]
2018-03-19,add,NKTR,Nektar Therapeutics,Market capitalization change.[112]
2018-03-19,add,SIVB,SVB Financial Group,Market capitalization change.[112]
2018-03-19,add,TTWO,Take-Two Interactive,Market capitalization change.[112]
2018-03-19,remove,CHK,Chesapeake Energy,Market capitalization change.[112]
2018-03-19,remove,PDCO,Patterson Companies,Market capitalization change.[112]
2018-03-19,remove,SIG,Signet Jewelers,Market capitalization change.[112]
2018-04-04,add,MSCI,MSCI,S&P 500 constituent General Dynamics (NYSE: GD) acquired CSRA.[111]
2018-04-04,remove,CSRA,CSRA,S&P 500 constituent General Dynamics (NYSE: GD) acquired CSRA.[111]
2018-05-31,add,ABMD,Abiomed,Wyndham Worldwide spun off Wyndham Hotels & Resorts (NYSE:WH).[110]
2018-05-31,remove,WYN,Wyndham Worldwide,Wyndham Worldwide spun off Wyndham Hotels & Resorts (NYSE:WH).[110]
2018-06-05,add,EVRG,Evergy,Westar Energy (NYSE: WR) acquired Great Plains Energy (NYSE: GXP) and changed name to Evergy.[109]
2018-06-05,remove,NAVI,Navient,Westar Energy (NYSE: WR) acquired Great Plains Energy (NYSE: GXP) and changed name to Evergy.[109]
2018-06-07,add,TWTR,Twitter,Bayer acquired Monsanto.[108]
2018-06-07,remove,MON,Monsanto,Bayer acquired Monsanto.[108]
2018-06-18,add,BR,Broadridge Financial Solutions,Market capitalization change.[107]
2018-06-18,add,HFC,HollyFrontier,Market capitalization change.[107]
2018-06-18,remove,AYI,Acuity Brands,Market capitalization change.[107]
2018-06-18,remove,RRC,Range Resources,Market capitalization change.[107]
2018-06-20,add,FLT,FleetCor Technologies,AT&T acquired Time Warner.[106]
2018-06-20,remove,TWX,Time Warner,AT&T acquired Time Warner.[106]
2018-07-02,add,CPRT,Copart,DPS acquired by Keurig Green Mountain.[105]
2018-07-02,remove,DPS,Dr Pepper Snapple Group,DPS acquired by Keurig Green Mountain.[105]
2018-08-28,add,ANET,Arista Networks,GGP acquired by Brookfield Property Partners.[104]
2018-08-28,remove,GGP,GGP,GGP acquired by Brookfield Property Partners.[104]
2018-09-14,add,WCG,WellCare,XL acquired by Axa.[103]
2018-09-14,remove,XL,XL Group,XL acquired by Axa.[103]
2018-10-01,add,ROL,Rollins,ANDV acquired by Marathon Petroleum.[102]
2018-10-01,remove,ANDV,Andeavor,ANDV acquired by Marathon Petroleum.[102]
2018-10-11,add,FTNT,Fortinet,EVHC acquired by KKR.[101]
2018-10-11,remove,EVHC,Envision Healthcare,EVHC acquired by KKR.[101]
2018-11-06,add,KEYS,Keysight,CA acquired by Broadcom.[100]
2018-11-06,remove,CA,CA Technologies,CA acquired by Broadcom.[100]
2018-11-13,add,JKHY,Jack Henry & Associates,EQT spun off ETRN[99]
2018-11-13,remove,EQT,EQT Corporation,EQT spun off ETRN[99]
2018-12-03,add,FANG,Diamondback Energy,Market Capitalization change[98]
2018-12-03,add,LW,Lamb Weston,UTX acquired COL[98]
2018-12-03,add,MXIM,Maxim Integrated,CVS acquired Aetna[98]
2018-12-03,remove,AET,Aetna,CVS acquired Aetna[98]
2018-12-03,remove,COL,Rockwell Collins,UTX acquired COL[98]
2018-12-03,remove,SRCL,Stericycle,Market Capitalization change[98]
2018-12-24,add,CE,Celanese,S&P 500 constituent Cigna (NYSE: CI) acquired ESRX[97]
2018-12-24,remove,ESRX,Express Scripts,S&P 500 constituent Cigna (NYSE: CI) acquired ESRX[97]
2019-01-02,add,FRC,First Republic Bank,Dominion Energy acquired SCANA Corporation[96]
2019-01-02,remove,SCG,SCANA,Dominion Energy acquired SCANA Corporation[96]
2019-01-18,add,TFX,Teleflex,PCG filed for bankruptcy[95]
2019-01-18,remove,PCG,Pacific Gas & Electric Company,PCG filed for bankruptcy[95]
2019-02-15,add,ATO,Atmos Energy,ECA acquired NFX[94]
2019-02-15,remove,NFX,Newfield Exploration,ECA acquired NFX[94]
2019-02-27,add,WAB,Wabtec,WAB acquired GE transportation business[93]
2019-02-27,remove,GT,The Goodyear Tire & Rubber Company,WAB acquired GE transportation business[93]
2019-03-19,add,FOX,Fox Corporation,21st Century Fox merged with Disney and some parts spun off as Fox Corporation.[92]
2019-03-19,add,FOXA,Fox Corporation,21st Century Fox merged with Disney and some parts spun off as Fox Corporation.[92]
2019-03-19,remove,FOX,21st Century Fox,21st Century Fox merged with Disney and some parts spun off as Fox Corporation.[92]
2019-03-19,remove,FOXA,21st Century Fox,21st Century Fox merged with Disney and some parts spun off as Fox Corporation.[92]
2019-04-02,add,DOW,Dow,DOW spun off from DWDP[91]
2019-04-02,remove,BHF,Brighthouse Financial,DOW spun off from DWDP[91]
2019-06-03,add,CTVA,Corteva,CTVA spun off from DWDP (which then changed symbol to DD)[90]
2019-06-03,add,DD,DuPont,DWDP changed to DD after spinning off Corteva.[90]
2019-06-03,remove,DWDP,DuPont,DWDP changed to DD after spinning off Corteva.[90]
2019-06-03,remove,FLR,Fluor Corporation,CTVA spun off from DWDP (which then changed symbol to DD)[90]
2019-06-07,add,BMS,Bemis,Pending merger of Bemis and Amcor; Bemis treated as the surviving entity.[89]
2019-06-07,remove,MAT,Mattel,Pending merger of Bemis and Amcor; Bemis treated as the surviving entity.[89]
2019-06-11,add,AMCR,Amcor,BMS changed to AMCR post merger with Amcor;[88] subsequently renamed to Amcor[89]
2019-06-11,remove,BMS,Bemis,BMS changed to AMCR post merger with Amcor;[88] subsequently renamed to Amcor[89]
2019-07-01,add,MKTX,MarketAxess,L3 purchased by Harris Corporation[87]
2019-07-01,remove,LLL,L3 Technologies,L3 purchased by Harris Corporation[87]
2019-07-15,add,TMUS,T-Mobile US,S&P 500 & 100 constituent IBM acquired Red Hat.[86]
2019-07-15,remove,RHT,Red Hat,S&P 500 & 100 constituent IBM acquired Red Hat.[86]
2019-08-09,add,IEX,IDEX Corporation,Market capitalization change.[85]
2019-08-09,add,LDOS,Leidos,S&P 500 & 100 constituent Occidental Petroleum Corp. (NYSE:OXY) acquired Anadarko Petroleum.[85]
2019-08-09,remove,APC,Anadarko Petroleum,S&P 500 & 100 constituent Occidental Petroleum Corp. (NYSE:OXY) acquired Anadarko Petroleum.[85]
2019-08-09,remove,FL,Foot Locker,Market capitalization change.[85]
2019-09-23,add,CDW,CDW Corporation,S&P 500 constituent Global Payments (NYSE: GPN) acquired TSS.[84]
2019-09-23,remove,TSS,TSYS,S&P 500 constituent Global Payments (NYSE: GPN) acquired TSS.[84]
2019-09-26,add,NVR,NVR,JEF spun off SPB.[83]
2019-09-26,remove,JEF,Jefferies Financial Group,JEF spun off SPB.[83]
2019-10-03,add,LVS,Las Vegas Sands,Market capitalization change.[82]
2019-10-03,remove,NKTR,Nektar Therapeutics,Market capitalization change.[82]
2019-11-21,add,NOW,ServiceNow,Bristol-Myers Squibb (NYSE:BMY) acquired Celgene.[81]
2019-11-21,remove,CELG,Celgene,Bristol-Myers Squibb (NYSE:BMY) acquired Celgene.[81]
2019-12-05,add,WRB,W. R. Berkley Corporation,CBS acquired Viacom to form ViacomCBS.[80]
2019-12-05,remove,VIAB,Viacom,CBS acquired Viacom to form ViacomCBS.[80]
2019-12-09,add,ODFL,Old Dominion Freight Line,BB&T acquired SunTrust to form Truist Financial.[79]
2019-12-09,remove,STI,SunTrust Banks,BB&T acquired SunTrust to form Truist Financial.[79]
2019-12-23,add,LYV,Live Nation Entertainment,Market capitalization change.[78]
2019-12-23,add,STE,Steris,Market capitalization change.[78]
2019-12-23,add,ZBRA,Zebra Technologies,Market capitalization change.[78]
2019-12-23,remove,AMG,Affiliated Managers Group,Market capitalization change.[78]
2019-12-23,remove,MAC,Macerich,Market capitalization change.[78]
2019-12-23,remove,TRIP,TripAdvisor,Market capitalization change.[78]
2020-01-28,add,PAYC,Paycom,S&P 500 constituent Centene Corp. (NYSE: CNC) acquired Wellcare Health Plans.[77]
2020-01-28,remove,WCG,WellCare,S&P 500 constituent Centene Corp. (NYSE: CNC) acquired Wellcare Health Plans.[77]
2020-03-02,add,IR,Ingersoll Rand,"Gardner Denver acquired Ingersoll Rand's industrial businesses then changed its name to the ""new"" Ingersoll Rand Inc.[75][76]"
2020-03-02,remove,XEC,Cimarex Energy,"Gardner Denver acquired Ingersoll Rand's industrial businesses then changed its name to the ""new"" Ingersoll Rand Inc.[75][76]"
2020-04-01,add,HWM,Howmet Aerospace,Arconic separated into 2 companies - Howmet remained on the index.[74]
2020-04-01,remove,ARNC,Arconic,Arconic separated into 2 companies - Howmet remained on the index.[74]
2020-04-03,add,CARR,Carrier,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[73]
2020-04-03,add,OTIS,Otis Worldwide,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[73]
2020-04-06,remove,M,Macy's,Market capitalization change.[73]
2020-04-06,remove,RTN,Raytheon Company,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[73]
2020-05-12,add,DPZ,Domino's Pizza,Market capitalization change.[72]
2020-05-12,add,DXCM,Dexcom,Allergan acquired by AbbVie.[72]
2020-05-12,remove,AGN,Allergan,Allergan acquired by AbbVie.[72]
2020-05-12,remove,CPRI,Capri Holdings,Market capitalization change.[72]
2020-05-22,add,WST,West Pharmaceutical Services,Market capitalization change.[71]
2020-05-22,remove,HP,Helmerich & Payne,Market capitalization change.[71]
2020-06-22,add,BIO,Bio-Rad Laboratories,Market capitalization change.[70]
2020-06-22,add,TDY,Teledyne,Market capitalization change.[70]
2020-06-22,add,TYL,Tyler Technologies,Market capitalization change.[70]
2020-06-22,remove,ADS,Alliance Data Systems,Market capitalization change.[70]
2020-06-22,remove,HOG,Harley-Davidson,Market capitalization change.[70]
2020-06-22,remove,JWN,Nordstrom,Market capitalization change.[70]
2020-09-21,add,CTLT,Catalent,Market capitalization change.[69]
2020-09-21,add,ETSY,Etsy,Market capitalization change.[69]
2020-09-21,add,TER,Teradyne,Market capitalization change.[69]
2020-09-21,remove,COTY,Coty,Market capitalization change.[69]
2020-09-21,remove,HRB,H&R Block,Market capitalization change.[69]
2020-09-21,remove,KSS,Kohl's,Market capitalization change.[69]
2020-10-07,add,POOL,Pool Corporation,Morgan Stanley acquired E*Trade.[68]
2020-10-07,remove,ETFC,E-Trade,Morgan Stanley acquired E*Trade.[68]
2020-10-09,add,VNT,Vontier,S&P 500 constituent Fortive spun off Vontier.[67]
2020-10-12,remove,NBL,Noble Energy,Chevron acquired Noble Energy.[67]
2020-12-21,add,TSLA,Tesla,Apartment Investment and Management (Aimco) spun off Apartment Income REIT.[66]
2020-12-21,remove,AIV,Apartment Investment & Management,Apartment Investment and Management (Aimco) spun off Apartment Income REIT.[66]
2021-01-07,add,ENPH,Enphase Energy,LVMH Moet Hennessy-Louis Vuitton SE acquired Tiffany & Co.[65]
2021-01-07,remove,TIF,Tiffany & Co,LVMH Moet Hennessy-Louis Vuitton SE acquired Tiffany & Co.[65]
2021-01-21,add,TRMB,Trimble,S&P 500/100 constituent ConocoPhillips acquired Concho Resources.[64]
2021-01-21,remove,CXO,Concho Resources,S&P 500/100 constituent ConocoPhillips acquired Concho Resources.[64]
2021-02-12,add,MPWR,Monolithic Power Systems,TechnipFMC was removed from the S&P 500 in anticipation of its announced spin-off of Technip Energies.[63]
2021-02-12,remove,FTI,TechnipFMC,TechnipFMC was removed from the S&P 500 in anticipation of its announced spin-off of Technip Energies.[63]
2021-03-22,add,CZR,Caesars Entertainment,Market capitalization change.[62]
2021-03-22,add,GNRC,Generac Holdings,Market capitalization change.[62]
2021-03-22,add,NXPI,NXP,Market capitalization change.[62]
2021-03-22,add,PENN,Penn National Gaming,Market capitalization change.[62]
2021-03-22,remove,FLS,Flowserve,Market capitalization change.[62]
2021-03-22,remove,SLG,SL Green Realty,Market capitalization change.[62]
2021-03-22,remove,VNT,Vontier,Market capitalization change.[62]
2021-03-22,remove,XRX,Xerox,Market capitalization change.[62]
2021-04-20,add,PTC,PTC,Siemens Healthineers acquired Varian Medical Systems.[61]
2021-04-20,remove,VAR,Varian Medical Systems,Siemens Healthineers acquired Varian Medical Systems.[61]
2021-05-14,add,CRL,Charles River Laboratories,S&P 500 constituent Teledyne Technologies acquired FLIR Systems.[60]
2021-05-14,remove,FLIR,FLIR Systems,S&P 500 constituent Teledyne Technologies acquired FLIR Systems.[60]
2021-06-03,add,OGN,Organon & Co.,S&P 500/100 constituent Merck & Co. spun off Organon.[54]
2021-06-04,remove,HFC,HollyFrontier,Market capitalization change.[54]
2021-07-21,add,MRNA,Moderna,AstraZeneca acquired Alexion Pharmaceuticals.[59]
2021-07-21,remove,ALXN,Alexion Pharmaceuticals,AstraZeneca acquired Alexion Pharmaceuticals.[59]
2021-08-30,add,TECH,Bio-Techne,S&P 500 constituent Analog Devices acquired Maxim Integrated Products.[58]
2021-08-30,remove,MXIM,Maxim Integrated,S&P 500 constituent Analog Devices acquired Maxim Integrated Products.[58]
2021-09-20,add,BRO,Brown & Brown,Market capitalization change.[57]
2021-09-20,add,CDAY,Ceridian,Market capitalization change.[57]
2021-09-20,add,MTCH,Match Group,Market capitalization change.[57]
2021-09-20,remove,NOV,Nov,Market capitalization change.[57]
2021-09-20,remove,PRGO,Perrigo,Market capitalization change.[57]
2021-09-20,remove,UNM,Unum,Market capitalization change.[57]
2021-12-14,add,EPAM,EPAM Systems,Canadian Pacific acquired Kansas City Southern.[56]
2021-12-14,remove,KSU,Kansas City Southern,Canadian Pacific acquired Kansas City Southern.[56]
2021-12-20,add,FDS,FactSet,Market capitalization change.[55]
2021-12-20,add,SBNY,Signature Bank,Market capitalization change.[55]
2021-12-20,add,SEDG,SolarEdge,Market capitalization change.[55]
2021-12-20,remove,HBI,Hanesbrands,Market capitalization change.[55]
2021-12-20,remove,LEG,Leggett & Platt,Market capitalization change.[55]
2021-12-20,remove,WU,Western Union,Market capitalization change.[55]
2022-02-02,add,CEG,Constellation Energy,S&P 500 and 100 constituent Exelon Corp. spun off Constellation Energy.[54]
2022-02-03,remove,GPS,Gap,Market capitalization change.[54]
2022-02-15,add,NDSN,Nordson Corporation,S&P 500 constituent Advanced Micro Devices acquired Xilinx.[53]
2022-02-15,remove,XLNX,Xilinx,S&P 500 constituent Advanced Micro Devices acquired Xilinx.[53]
2022-03-02,add,MOH,Molina Healthcare,S&P 500 constituent S&P Global Inc. acquired IHS Markit.[52]
2022-03-02,remove,INFO,IHS Markit,S&P 500 constituent S&P Global Inc. acquired IHS Markit.[52]
2022-04-04,add,CPT,Camden Property Trust,S&P 500 constituent M&T Bank Corp. acquired People's United Financial.[51]
2022-04-04,remove,PBCT,People's United Financial,S&P 500 constituent M&T Bank Corp. acquired People's United Financial.[51]
2022-04-11,add,WBD,Warner Bros. Discovery,WarnerMedia and Discovery merge to create Warner Bros. Discovery.[50]
2022-04-11,remove,DISCA,"Discovery, Inc.",WarnerMedia and Discovery merge to create Warner Bros. Discovery.[50]
2022-04-11,remove,DISCK,"Discovery, Inc.",WarnerMedia and Discovery merge to create Warner Bros. Discovery.[50]
2022-06-08,add,VICI,Vici Properties,S&P 500 constituent Oracle Corp. acquired Cerner.[49]
2022-06-08,remove,CERN,Cerner,S&P 500 constituent Oracle Corp. acquired Cerner.[49]
2022-06-21,add,KDP,Keurig Dr Pepper,Market capitalization change.[49]
2022-06-21,add,ON,ON Semiconductor,Market capitalization change.[49]
2022-06-21,remove,IPGP,IPG Photonics,Market capitalization change.[49]
2022-06-21,remove,UA,Under Armour (Class C),Market capitalization change.[49]
2022-06-21,remove,UAA,Under Armour (Class A),Market capitalization change.[49]
2022-09-19,add,CSGP,CoStar Group,Market capitalization change.[48]
2022-09-19,add,INVH,Invitation Homes,Market capitalization change.[48]
2022-09-19,remove,PENN,Penn Entertainment,Market capitalization change.[48]
2022-09-19,remove,PVH,PVH,Market capitalization change.[48]
2022-10-03,add,EQT,EQT Corporation,S&P 500 constituent Prologis Inc. acquired Duke Realty.[47]
2022-10-03,add,PCG,PG&E,Vista Equity Partners acquired Citrix Systems.[47]
2022-10-03,remove,CTXS,Citrix Systems,Vista Equity Partners acquired Citrix Systems.[47]
2022-10-03,remove,DRE,Duke Realty,S&P 500 constituent Prologis Inc. acquired Duke Realty.[47]
2022-10-12,add,TRGP,Targa Resources,Elliot Management Corp acquired Nielsen Holdings.[46]
2022-10-12,remove,NLSN,Nielsen Holdings,Elliot Management Corp acquired Nielsen Holdings.[46]
2022-11-01,add,ACGL,Arch Capital Group,Elon Musk acquired Twitter.[45]
2022-11-01,remove,TWTR,Twitter,Elon Musk acquired Twitter.[45]
2022-12-15,add,MBC,MasterBrand,S&P 500 constituent Fortune Brands Home & Security spun off MasterBrand.[44]
2022-12-19,add,FSLR,First Solar,Market capitalization change.[44]
2022-12-19,remove,FBHS,Fortune Brands Home & Security,Market capitalization change.[44]
2022-12-19,remove,MBC,MasterBrand,Market capitalization change.[44]
2022-12-22,add,STLD,Steel Dynamics,S&P 500 constituent Johnson & Johnson acquired Abiomed.[43]
2022-12-22,remove,ABMD,Abiomed,S&P 500 constituent Johnson & Johnson acquired Abiomed.[43]
2023-01-04,add,GEHC,GE HealthCare,S&P 500 constituent General Electric spun off GE HealthCare.[42]
2023-01-05,remove,VNO,Vornado Realty Trust,Market capitalization change.[42]
2023-03-15,add,BG,Bunge Global,The FDIC placed Signature Bank into FDIC Receivership.[40]
2023-03-15,add,PODD,Insulet,"The FDIC placed SVB's main subsidiary, Silicon Valley Bank, into receivership.[41]"
2023-03-15,remove,SBNY,Signature Bank,The FDIC placed Signature Bank into FDIC Receivership.[40]
2023-03-15,remove,SIVB,SVB Financial Group,"The FDIC placed SVB's main subsidiary, Silicon Valley Bank, into receivership.[41]"
2023-03-20,add,FICO,Fair Isaac,Market capitalization change.[39]
2023-03-20,remove,LUMN,Lumen Technologies,Market capitalization change.[39]
2023-05-04,add,AXON,Axon Enterprise,The Federal Deposit Insurance Corporation (FDIC) placed First Republic Bank into FDIC Receivership.[38]
2023-05-04,remove,FRC,First Republic Bank,The Federal Deposit Insurance Corporation (FDIC) placed First Republic Bank into FDIC Receivership.[38]
2023-06-20,add,PANW,Palo Alto Networks,Market capitalization change.[37]
2023-06-20,remove,DISH,Dish Network,Market capitalization change.[37]
2023-08-25,add,KVUE,Kenvue,S&P 500 and S&P 100 constituent Johnson & Johnson offered to exchange the shares of Kenvue held for shares of Johnson & Johnson in a split-off exchange offer.[36]
2023-08-25,remove,AAP,Advance Auto Parts,S&P 500 and S&P 100 constituent Johnson & Johnson offered to exchange the shares of Kenvue held for shares of Johnson & Johnson in a split-off exchange offer.[36]
2023-09-18,add,ABNB,Airbnb,Market capitalization change.[35]
2023-09-18,add,BX,Blackstone,Market capitalization change.[35]
2023-09-18,remove,LNC,Lincoln National Corporation,Market capitalization change.[35]
2023-09-18,remove,NWL,Newell Brands,Market capitalization change.[35]
2023-10-02,add,VLTO,Veralto,S&P 500 and S&P 100 constituent Danaher Corporation spun off Veralto.[34]
2023-10-03,remove,DXC,DXC Technology,Market capitalization change.[34]
2023-10-18,add,HUBB,Hubbell,Market capitalization change.[33]
2023-10-18,add,LULU,Lululemon Athletica,S&P 500 and S&P 100 constituent Microsoft acquired Activision Blizzard.[33]
2023-10-18,remove,ATVI,Activision Blizzard,S&P 500 and S&P 100 constituent Microsoft acquired Activision Blizzard.[33]
2023-10-18,remove,OGN,Organon & Co.,Market capitalization change.[33]
2023-12-18,add,BLDR,Builders FirstSource,Market capitalization change.[32]
2023-12-18,add,JBL,Jabil,Market capitalization change.[32]
2023-12-18,add,UBER,Uber,Market capitalization change.[32]
2023-12-18,remove,ALK,Alaska Air Group,Market capitalization change.[32]
2023-12-18,remove,SEDG,SolarEdge,Market capitalization change.[32]
2023-12-18,remove,SEE,Sealed Air,Market capitalization change.[32]
2024-03-18,add,DECK,Deckers Brands,Market capitalization change.[31]
2024-03-18,add,SMCI,Supermicro,Market capitalization change.[31]
2024-03-18,remove,WHR,Whirlpool Corporation,Market capitalization change.[31]
2024-03-18,remove,ZION,Zions Bancorporation,Market capitalization change.[31]
2024-04-01,add,SOLV,Solventum,S&P 500 and 100 constituent 3M Co. spun off Solventum.[30]
2024-04-02,add,GEV,GE Vernova,S&P 500 and 100 constituent General Electric Corp. spun off GE Vernova.[30]
2024-04-03,remove,VFC,VF Corporation,Market capitalization change.[30]
2024-04-03,remove,XRAY,Dentsply Sirona,Market capitalization change.[30]
2024-05-08,add,VST,Vistra,S&P 500 and S&P 100 constituent ExxonMobil acquired Pioneer Natural Resources.[29]
2024-05-08,remove,PXD,Pioneer Natural Resources,S&P 500 and S&P 100 constituent ExxonMobil acquired Pioneer Natural Resources.[29]
2024-06-24,add,CRWD,CrowdStrike,Market capitalization change.[28]
2024-06-24,add,GDDY,GoDaddy,Market capitalization change.[28]
2024-06-24,add,KKR,KKR,Market capitalization change.[28]
2024-06-24,remove,CMA,Comerica,Market capitalization change.[28]
2024-06-24,remove,ILMN,"Illumina, Inc.",Market capitalization change.[28]
2024-06-24,remove,RHI,Robert Half,Market capitalization change.[28]
2024-09-23,add,DELL,Dell Technologies,Market capitalization change.[27]
2024-09-23,add,ERIE,Erie Indemnity,Market capitalization change.[27]
2024-09-23,add,PLTR,Palantir Technologies,Market capitalization change.[27]
2024-09-23,remove,AAL,American Airlines Group,Market capitalization change.[27]
