date,action,ticker,security,reason
2011-10-31,remove,ITT,ITT,Spun off from ITT Corp.[229]
2011-11-18,add,CBE,Cooper Industries,Janus Capital Group's market capitalization is less than $1.2 billion  and is no longer representative of the large cap market space.[228]
2011-11-18,remove,JNS,Janus Capital Group,Janus Capital Group's market capitalization is less than $1.2 billion  and is no longer representative of the large cap market space.[228]
2011-12-12,add,GAS,AGL Resources.,"Nicor acquired by AGL, which retained the GAS ticker.[227]"
2011-12-12,remove,GAS,Nicor Gas,"Nicor acquired by AGL, which retained the GAS ticker.[227]"
2011-12-16,add,BWA,BorgWarner,Market capitalization changes[226]
2011-12-16,add,DLTR,Dollar Tree,Market capitalization changes
2011-12-16,add,PRGO,Perrigo,Market capitalization changes
2011-12-16,remove,AKS,AK Steel,Market capitalization changes[226]
2011-12-16,remove,MWW,Monster Worldwide,Market capitalization changes
2011-12-16,remove,WFR,MEMC Electronic Materials,Market capitalization changes
2011-12-20,add,TRIP,TripAdvisor,Expedia spun off TripAdvisor.[225]
2011-12-20,remove,TLAB,Tellabs,Expedia spun off TripAdvisor.[225]
2011-12-31,add,WPX,WPX Energy,Market capitalization changes[224]
2011-12-31,remove,CPWR,Compuware,Market capitalization changes[224]
2012-03-13,add,CCI,Crown Castle,Acquired by Exelon Corp. (EXC)[223]
2012-03-13,remove,CEG,Constellation Energy Group,Acquired by Exelon Corp. (EXC)[223]
2012-04-03,add,FOSL,Fossil,Acquired by Express Scripts (ESRX)[222]
2012-04-03,remove,MHS,Medco Health Solutions,Acquired by Express Scripts (ESRX)[222]
2012-04-23,add,PSX,Phillips 66,ConocoPhillips spun off Phillips 66[221]
2012-04-23,remove,SVU,Supervalu,ConocoPhillips spun off Phillips 66[221]
2012-05-17,add,KMI,Kinder Morgan,Acquired by Kinder Morgan (KMI)[220]
2012-05-17,remove,EP,El Paso Corporation,Acquired by Kinder Morgan (KMI)[220]
2012-05-21,add,ALXN,Alexion Pharmaceuticals,Acquired by Google (GOOG)[219]
2012-05-21,remove,MMI,Motorola Mobility,Acquired by Google (GOOG)[219]
2012-06-05,add,LRCX,Lam Research,Acquired by Lam Research (LRCX)[218]
2012-06-05,remove,NVLS,Novellus Systems,Acquired by Lam Research (LRCX)[218]
2012-06-29,add,MNST,Monster Beverage,Split up of Sara Lee[217]
